Pages, Accessing all of them 100000 times
1, 254
2, 242
3, 192
4, 216
5, 202
6, 192
7, 189
8, 201
9, 239
10, 418
11, 364
12, 462
13, 566
14, 497
15, 560
16, 449
17, 472
18, 488
19, 512
20, 571
21, 547
22, 567
23, 621
24, 610
25, 636
26, 754
27, 928
28, 909
29, 857
30, 886
31, 841
32, 863
33, 849
34, 839
35, 869
36, 840
37, 876
38, 849
39, 839
40, 861
41, 851
42, 845
43, 839
44, 858
45, 855
46, 850
47, 843
48, 853
49, 854
50, 848
51, 853
52, 850
53, 842
54, 826
55, 922
56, 860
57, 856
58, 848
59, 848
60, 851
61, 850
62, 848
63, 852
64, 847
128, 845
256, 824
512, 815
1024, 863
2048, 751
4096, 1199
8192, 1573
16384, 2021
32768, 1967
65536, 1917
