1, 322
2, 313
3, 328
4, 327
5, 322
6, 330
7, 343
8, 335
9, 510
10, 419
11, 575
12, 639
13, 683
14, 705
15, 747
16, 1012
17, 997
18, 1029
19, 1019
20, 1102
21, 1018
22, 1100
23, 1107
24, 1009
25, 1102
26, 1060
27, 1125
28, 1100
29, 1028
30, 1117
31, 1112
32, 1118
33, 1120
34, 1038
35, 1103
36, 1100
37, 1123
38, 1064
39, 1068
40, 1050
41, 1106
42, 1104
43, 1029
44, 1018
45, 1072
46, 1195
47, 1038
48, 1158
49, 1052
50, 1105
51, 1021
52, 1117
53, 1086
54, 1047
55, 1048
56, 1068
57, 1152
58, 1228
59, 1128
60, 1132
61, 1140
62, 1092
63, 1123
64, 1037
128, 972
256, 971
512, 1054
1024, 948
2048, 1279
4096, 1319
8192, 1782
16384, 1921
32768, 1965
65536, 1916
