1, 325
2, 312
3, 333
4, 329
5, 345
6, 332
7, 327
8, 341
9, 372
10, 425
11, 550
12, 660
13, 694
14, 703
15, 726
16, 972
17, 1025
18, 886
19, 1041
20, 1109
21, 1131
22, 1117
23, 1094
24, 1018
25, 1062
26, 1017
27, 1139
28, 1072
29, 1077
30, 1111
31, 1107
32, 1126
33, 1047
34, 1093
35, 1109
36, 1056
37, 1099
38, 1040
39, 1078
40, 1069
41, 1092
42, 1030
43, 1078
44, 1058
45, 1283
46, 1059
47, 993
48, 1030
49, 1078
50, 1216
51, 1069
52, 1037
53, 1056
54, 1068
55, 1084
56, 1031
57, 1174
58, 1149
59, 1138
60, 1105
61, 1040
62, 1000
63, 1007
64, 1134
128, 897
256, 929
512, 1029
1024, 1025
2048, 1303
4096, 1300
8192, 1792
16384, 1908
32768, 1902
65536, 1984
