1, 202
2, 227
3, 368
4, 204
5, 214
6, 315
7, 218
8, 216
9, 249
10, 337
11, 408
12, 388
13, 429
14, 429
15, 480
16, 531
17, 670
18, 973
19, 963
20, 943
21, 857
22, 818
23, 808
24, 805
25, 808
26, 802
27, 810
28, 811
29, 811
30, 805
31, 805
32, 806
33, 815
34, 804
35, 807
36, 811
37, 806
38, 810
39, 805
40, 808
41, 804
42, 806
43, 806
44, 803
45, 804
46, 804
47, 809
48, 806
49, 806
50, 805
51, 805
52, 801
53, 832
54, 809
55, 804
56, 805
57, 791
58, 808
59, 807
60, 805
61, 809
62, 807
63, 805
64, 801
65, 795
66, 814
67, 811
68, 806
69, 808
70, 823
71, 822
72, 849
73, 827
74, 815
75, 804
76, 808
77, 913
78, 872
79, 839
80, 815
81, 810
82, 804
83, 808
84, 804
85, 809
86, 831
87, 817
88, 816
89, 809
90, 807
91, 807
92, 816
93, 830
94, 807
95, 811
96, 812
97, 823
98, 843
99, 830
100, 835
100, 823
110, 812
120, 810
130, 812
140, 808
150, 804
160, 808
170, 816
180, 801
190, 809
200, 855
210, 802
220, 802
230, 819
240, 802
250, 803
260, 815
270, 793
280, 811
290, 797
300, 816
310, 785
320, 801
330, 791
340, 821
350, 793
360, 801
370, 809
380, 809
390, 808
400, 805
410, 798
420, 787
430, 794
440, 795
450, 788
460, 814
470, 792
480, 800
490, 819
500, 794
510, 796
520, 797
530, 790
540, 787
550, 791
560, 807
570, 800
580, 805
590, 795
600, 791
610, 787
620, 791
630, 793
640, 790
650, 789
660, 794
670, 791
680, 805
690, 791
700, 787
710, 789
720, 783
730, 790
740, 789
750, 789
760, 793
770, 785
780, 788
790, 785
800, 784
810, 792
820, 792
830, 788
840, 788
850, 789
860, 787
870, 791
880, 790
890, 784
900, 788
910, 787
920, 809
930, 787
940, 790
950, 786
960, 792
970, 785
980, 846
990, 786
1000, 799
1000, 805
2000, 533
3000, 835
4000, 1228
5000, 1448
6000, 1567
7000, 1643
8000, 1709
9000, 1759
10000, 1791
